D0
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.08018870706553,-471.3006813706481,-471.1187615554968
3,None,None,None
4,-470.8551552685137,-471.15829286044146,-470.8759453411682
5,None,None,None
6,-470.646254077667,-471.0262662988544,-470.68390715453916
7,None,None,None
8,-470.4486833284939,-470.90730058137,-470.49566919421454
9,None,None,None
10,-470.2550236883886,-470.7945260661996,-470.30782901482416
11,None,None,None
12,None,None,None

D15
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.0757695472778,-471.2952956327574,-471.11425615804535
3,None,None,None
4,-470.850526726374,-471.1536615393139,-470.8714093359862
5,None,None,None
6,-470.64172326545867,-471.0217473837911,-470.679028462259
7,None,None,None
8,-470.4441376080622,-470.90281695361335,-470.4909916847557
9,None,None,None
10,-470.250483073867,-470.79005122519163,-470.3030450876375
11,None,None,None
12,None,None,None

D30
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.0633495773557,-471.28232920507867,-471.10065413583766
3,None,None,None
4,-470.836806906093,-471.14002168087325,-470.8708420191018
5,None,None,None
6,-470.6282586517268,-471.0084072129492,-470.66463559772023
7,None,None,None
8,-470.430666939995,-470.88955913664427,-470.47693436160006
9,None,None,None
10,-470.237028816369,-470.77678650239886,-470.2888518357203
11,None,None,None
12,None,None,None

D45
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.04142501494414,-471.26009938366246,-471.07804555607197
3,None,None,None
4,-470.8143396872342,-471.1178218245356,-470.84736856075745
5,None,None,None
6,-470.60625845735046,-470.9866005461659,-470.64134262405014
7,None,None,None
8,-470.40862814965027,None,-470.4537327389426
9,None,None,None
10,-470.21500648656115,-470.7550785041864,-470.265592039416
11,None,None,None
12,None,None,None

D60
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.0099662391714,-471.22913086362325,-471.0469164260619
3,None,None,None
4,-470.7840940150161,-471.08807293009374,-470.81590569200057
5,None,None,None
6,-470.576669793467,-470.95729126364904,-470.6116243987139
7,None,None,None
8,-470.3790350054415,-470.83867426145775,-470.4227430347215
9,None,None,None
10,-470.1853974265194,-470.7258958842519,None
11,None,None,None
12,None,None,None

D75
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-470.9714591094894,-471.19069106837287,-470.9180875950418
3,None,None,None
4,-470.7485017121712,-471.053299591802,-470.7776315727717
5,None,None,None
6,-470.542480581018,-470.9235423532748,-470.5732458201043
