D0
7,None,None,None
8,-470.3451772730309,-470.80515750534653,-470.3835560032148
9,None,None,None
10,-470.15148847027564,-470.6923348381358,-470.1950361903682
11,None,None,None
12,None,None,None

D90
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-470.93082311218905,-471.14834536369335,-470.9605066134665
3,None,None,None
4,-470.7177717726425,-471.02765897584663,-470.7329467537227
5,None,None,None
6,-470.52159541888557,-470.9009221051109,-470.5610177305622
7,None,None,None
8,-470.32317025915233,-470.78255525000105,-470.37236202611615
9,None,None,None
10,-470.1292431577092,-470.6701975110593,-470.18409414350396
11,None,None,None
12,None,None,None

D105
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-470.90581319648777,-471.11425423600764,-471.0052206501699
3,None,None,None
4,-470.7519810096652,-471.05867333565266,-470.782101401059
5,None,None,None
6,-470.5436281039428,-470.92506644553873,-470.5838412829904
7,None,None,None
8,-470.34538155587774,-470.80539124296,-470.3941476289227
9,None,None,None
10,-470.15164679894673,-470.69259589796405,None
11,None,None,None
12,None,None,None

D120
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-470.9823384365481,-471.23276029991473,-471.04123671932433
3,None,None,None
4,-470.78767797764397,-471.0938390191051,-470.82078349943345
5,None,None,None
6,-470.5783734742273,-470.95965858854765,-470.6140295212516
7,None,None,None
8,-470.3800970262651,-470.8397583889357,-470.42398652402886
9,None,None,None
10,-470.186133045372,-470.7270061982911,-470.2353703438396
11,None,None,None
12,None,None,None

D135
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.05121671482505,-471.26404536491873,-471.0737929519307
3,None,None,None
4,-470.8172855837846,-471.1228264401051,-470.8518457473801
5,None,None,None
6,-470.6083928162748,-470.9895317753036,-470.6432453260515
7,None,None,None
8,-470.410187402211,-470.8696401627337,-470.45672253493626
9,None,None,None
10,-470.2161103628414,-470.75688174527215,-470.26782895633914
11,None,None,None
12,None,None,None

D150
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.0286096630774,None,-471.0965132704095
3,None,None,None
4,-470.8379778349114,-471.1430458216013,-470.8733104826075
5,None,None,None
6,-470.6298887504662,-471.01094451235906,-470.6663328714075
7,None,None,None
8,-470.4318127613162,-470.8911572006227,-470.47974381777897
9,None,None,None
10,-470.23781997775734,-470.77839128689266,-470.2909913921861
11,None,None,None
12,None,None,None

D165
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.0395265571334,-471.2976744607399,-471.1092417041471
3,None,None,None
4,-470.8492697226274,-471.1540405441683,-470.8783490177159
5,None,None,None
6,-470.64197596919615,-471.02293155203245,-470.6794217683157
7,None,None,None
8,-470.4440236864573,-470.90323231742,-470.4925085888619
9,None,None,None
10,-470.25003687678816,-470.79048368153104,-470.3041452688257
11,None,None,None
12,None,None,None

D180
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ
1,None,None,None
2,-471.0458523709208,-471.299055966389,-471.0650438368466
3,None,None,None
4,-470.85275331631544,-471.1451171573168,-470.88312007005527
5,None,None,None
6,-470.63956525538043,-471.0265643350107,-470.6834914235134
7,None,None,None
8,-470.4408724235293,-470.9069159232713,-470.49641482624855
9,None,None,None
10,-470.24678771787046,-470.7942238328048,-470.308237443299
11,None,None,None
12,None,None,None

