D0
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
11,-470.1501048951627,-470.730913499065,-470.221802118956,None
12,None,None,None,None

D120
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.05657187623655,-471.2983636580864,-471.09205315040106,None
3,-470.95759315071336,-471.23962650252815,-470.9950408398209,None
4,-470.85997519013296,-471.18312428111557,-470.90159345972586,None
5,-470.76333983751874,-471.1267069787257,-470.80926431119144,None
6,-470.6659077919536,-471.06763524398167,-470.7174898690947,None
7,-470.5659615832467,-471.01828050338975,-470.62624825627967,None
8,-470.4736309244331,-470.9625709255373,-470.5358914260214,None
9,None,-470.90814308206683,-470.447458742615,None
10,-470.2805385997598,-470.8499529143225,-470.3530452176151,None
11,-470.16915601458146,-470.75659903330467,-470.24248292129744,None
12,None,None,None,None

D135
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.07293182128694,-471.3145809110601,-471.10797186574445,None
3,-470.9736030967216,-471.25582013042595,-471.0107625176296,None
4,-470.87632358398525,-471.19907347153145,-470.9174878861078,None
5,-470.7793486204703,-471.1429859128847,-470.82504413955144,None
6,-470.6832922940622,-471.0838500859036,-470.7332658581872,None
7,-470.5819902934766,-471.03433467592504,-470.6422121641548,None
8,-470.48965604712595,-470.9786377017673,-470.5516942828818,None
9,-470.39269012280437,-470.92442679740543,-470.4633585808147,None
10,-470.296546362291,-470.8639048541007,-470.3680100574097,None
11,-470.18515532858163,-470.7750636672263,-470.26023607072375,None
12,None,None,None,None

D150
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.0847640734534,-471.3265489960655,-471.1197492867487,None
3,-470.98543730407084,-471.26766716891484,-471.022632359608,None
4,-470.8881612838077,-471.2113090082517,-470.9293693496976,None
5,-470.79069995980444,None,-470.83677712239955,None
6,-470.6937217627217,-471.09580940932,-470.74509008889663,None
7,-470.5941168452691,-471.04621253672906,-470.6540180248672,None
8,-470.50150290342174,-470.9904809073475,-470.5633528439078,None
9,-470.40462598617523,-470.93642468750227,-470.4750474658878,None
10,-470.3082421191624,-470.8730563050152,-470.37831557769863,None
11,-470.19683440951826,-470.78776713339437,-470.2739063712377,None
12,None,None,None,None

D165
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.0914235447706,-471.33354994542003,-471.1266794734772,None
3,-470.99244954030826,-471.27469911627963,-471.0296098289533,None
4,-470.8948335244824,-471.218397316995,-470.93633107329254,None
5,-470.798198548992,-471.16198431288166,-470.8438527077716,None
6,-470.7012895420556,-471.10278866570184,-470.7520584477,None
7,-470.60188817462677,-471.0531586941649,-470.66089035451074,None
